iter	Passed	Remaining
265	1008	2781
266	1010	2775
267	1013	2768
268	1016	2762
269	1019	2756
270	1022	2750
271	1025	2744
272	1028	2738
273	1031	2733
274	1034	2727
275	1037	2721
276	1040	2715
277	1043	2710
278	1046	2704
279	1049	2698
280	1052	2692
281	1055	2686
282	1058	2680
283	1061	2675
284	1063	2668
285	1066	2663
286	1069	2657
287	1072	2652
288	1075	2646
289	1078	2640
290	1081	2635
291	1084	2629
292	1087	2624
293	1090	2619
294	1094	2615
295	1097	2609
296	1100	2604
297	1103	2599
298	1106	2594
299	1109	2588
300	1112	2583
301	1115	2578
302	1118	2573
303	1121	2568
304	1125	2563
305	1128	2558
306	1131	2553
307	1133	2547
308	1136	2542
309	1139	2536
310	1142	2531
311	1145	2526
312	1148	2520
313	1151	2515
314	1154	2510
315	1157	2505
316	1160	2500
317	1163	2494
318	1166	2489
319	1169	2484
320	1171	2478
321	1174	2473
322	1177	2468
323	1180	2463
324	1183	2458
325	1186	2453
326	1189	2448
327	1193	2445
328	1197	2441
329	1200	2437
330	1203	2433
331	1207	2428
332	1210	2425
333	1213	2420
334	1217	2416
335	1220	2411
336	1223	2407
337	1227	2403
338	1230	2398
339	1233	2393
340	1236	2388
341	1239	2384
342	1242	2380
343	1246	2376
344	1248	2371
345	1252	2366
346	1255	2362
347	1258	2357
348	1261	2353
349	1264	2348
350	1267	2344
351	1270	2339
352	1273	2334
353	1276	2329
354	1279	2325
355	1283	2322
356	1287	2318
357	1290	2314
358	1294	2310
359	1297	2306
360	1300	2302
361	1303	2297
362	1306	2292
363	1309	2287
364	1312	2282
365	1315	2278
366	1318	2274
367	1321	2270
368	1324	2265
369	1327	2261
370	1331	2256
371	1334	2252
372	1337	2248
373	1340	2243
374	1343	2239
375	1347	2235
376	1350	2231
377	1353	2226
378	1356	2222
379	1359	2217
380	1362	2213
381	1365	2208
382	1368	2204
383	1371	2200
384	1374	2195
385	1377	2191
386	1380	2186
387	1383	2182
388	1387	2178
389	1390	2175
390	1394	2171
391	1397	2167
392	1401	2165
393	1405	2162
394	1408	2158
395	1411	2153
396	1415	2149
397	1418	2145
398	1422	2142
399	1425	2137
400	1428	2133
401	1431	2129
402	1434	2125
403	1437	2121
404	1440	2116
405	1443	2112
406	1446	2108
407	1449	2103
408	1452	2099
409	1455	2095
410	1459	2091
411	1462	2086
412	1465	2082
413	1468	2078
414	1471	2074
415	1474	2070
416	1477	2066
417	1480	2062
418	1483	2057
419	1486	2053
420	1490	2049
421	1494	2046
422	1497	2043
423	1501	2039
424	1504	2035
425	1507	2031
426	1510	2027
427	1513	2023
428	1517	2019
429	1520	2016
430	1523	2011
431	1527	2008
432	1530	2004
433	1534	2000
434	1537	1996
435	1540	1992
436	1544	1989
437	1547	1985
438	1550	1981
439	1553	1977
440	1557	1973
441	1560	1969
442	1563	1965
443	1566	1961
444	1569	1957
445	1572	1953
446	1576	1950
447	1579	1946
448	1583	1942
449	1586	1938
450	1589	1935
451	1593	1932
452	1596	1928
453	1600	1924
454	1603	1920
455	1607	1917
456	1611	1914
457	1614	1910
458	1618	1907
459	1621	1903
460	1625	1900
461	1628	1896
462	1631	1892
463	1634	1888
464	1637	1884
465	1640	1880
466	1643	1876
467	1647	1872
468	1650	1868
469	1653	1864
470	1656	1860
471	1659	1856
472	1663	1853
473	1666	1849
474	1670	1846
475	1673	1842
476	1677	1838
477	1680	1834
478	1683	1830
479	1686	1826
480	1689	1823
481	1692	1819
482	1695	1815
483	1699	1812
484	1702	1808
485	1706	1804
486	1709	1800
487	1712	1797
488	1716	1793
489	1720	1790
490	1723	1786
491	1727	1783
492	1731	1780
493	1734	1776
494	1737	1772
495	1740	1768
496	1744	1765
497	1747	1761
498	1750	1757
499	1753	1753
500	1756	1749
501	1759	1745
502	1762	1741
503	1765	1737
504	1768	1733
505	1770	1728
506	1773	1724
507	1776	1720
508	1779	1716
509	1782	1712
510	1785	1708
511	1788	1704
512	1791	1700
513	1794	1696
514	1797	1692
515	1800	1688
516	1803	1685
517	1806	1680
518	1809	1677
519	1812	1673
520	1815	1669
521	1818	1665
522	1821	1661
523	1824	1657
524	1827	1653
525	1830	1649
526	1833	1645
527	1836	1641
528	1839	1637
529	1842	1633
530	1845	1630
531	1848	1626
532	1851	1622
533	1854	1618
534	1857	1614
535	1860	1610
536	1864	1607
537	1867	1603
538	1870	1599
539	1873	1595
540	1876	1591
541	1879	1588
542	1882	1584
543	1884	1579
544	1887	1576
545	1890	1572
546	1893	1568
547	1896	1564
548	1898	1559
549	1901	1556
550	1904	1552
551	1907	1548
552	1910	1544
553	1912	1539
554	1915	1536
555	1918	1532
556	1921	1528
557	1924	1524
558	1927	1520
559	1930	1516
560	1933	1512
561	1936	1508
562	1939	1505
563	1942	1501
564	1944	1497
565	1947	1493
566	1950	1489
567	1953	1485
568	1956	1482
569	1959	1478
570	1962	1474
571	1966	1471
572	1969	1467
573	1972	1463
574	1975	1460
575	1978	1456
576	1981	1452
577	1984	1448
578	1987	1445
579	1990	1441
580	1993	1437
581	1996	1434
582	1999	1430
583	2002	1426
584	2005	1422
585	2008	1419
586	2011	1415
587	2014	1411
588	2017	1407
589	2020	1403
590	2023	1400
591	2026	1396
592	2028	1392
593	2032	1388
594	2034	1385
595	2037	1381
596	2040	1377
597	2043	1373
598	2046	1369
599	2048	1365
600	2051	1362
601	2055	1358
602	2058	1355
603	2061	1351
604	2064	1347
605	2066	1343
606	2069	1340
607	2072	1336
608	2075	1332
609	2078	1329
610	2081	1325
611	2084	1321
612	2087	1318
613	2090	1314
614	2093	1310
615	2096	1307
616	2100	1303
617	2103	1299
618	2106	1296
619	2109	1292
620	2112	1289
621	2115	1285
622	2118	1281
623	2121	1278
624	2124	1274
625	2127	1270
626	2130	1267
627	2133	1263
628	2136	1259
629	2138	1256
630	2141	1252
631	2144	1248
632	2147	1245
633	2150	1241
634	2153	1237
635	2156	1234
636	2159	1230
637	2162	1227
638	2165	1223
639	2168	1219
640	2171	1216
641	2174	1212
642	2178	1209
643	2180	1205
644	2184	1202
645	2188	1199
646	2191	1195
647	2195	1192
648	2199	1189
649	2202	1185
650	2205	1182
651	2208	1178
652	2211	1175
653	2215	1172
654	2218	1168
655	2222	1165
656	2225	1161
657	2228	1158
658	2231	1154
659	2235	1151
660	2238	1147
661	2241	1144
662	2244	1140
663	2248	1137
664	2251	1134
665	2255	1130
666	2258	1127
667	2261	1123
668	2264	1120
669	2267	1116
670	2270	1113
671	2274	1109
672	2276	1106
673	2279	1102
674	2282	1099
675	2286	1095
676	2289	1092
677	2293	1089
678	2296	1085
679	2299	1082
680	2302	1078
681	2306	1075
682	2309	1071
683	2312	1068
684	2315	1065
685	2319	1061
686	2322	1058
687	2325	1054
688	2328	1050
689	2331	1047
690	2334	1043
691	2338	1040
692	2341	1037
693	2344	1033
694	2347	1030
695	2350	1026
696	2354	1023
697	2357	1020
698	2361	1016
699	2364	1013
700	2368	1010
701	2371	1006
702	2375	1003
703	2378	1000
704	2382	996
705	2385	993
706	2388	989
707	2392	986
708	2395	983
709	2398	979
710	2402	976
711	2405	972
712	2408	969
713	2411	966
714	2415	962
715	2419	959
716	2422	956
717	2426	952
718	2429	949
719	2433	946
720	2436	942
721	2441	939
722	2445	936
723	2448	933
724	2451	930
725	2455	926
726	2459	923
727	2462	920
728	2465	916
729	2469	913
730	2472	909
731	2475	906
732	2479	903
733	2482	899
734	2485	896
735	2489	892
736	2492	889
737	2495	886
738	2499	882
739	2502	879
740	2505	875
741	2509	872
742	2512	869
743	2515	865
744	2519	862
745	2522	858
746	2525	855
747	2528	851
748	2531	848
749	2534	844
750	2538	841
751	2541	838
752	2544	834
753	2548	831
754	2551	827
755	2554	824
756	2557	821
757	2561	817
758	2564	814
759	2567	810
760	2571	807
761	2574	804
762	2578	800
763	2581	797
764	2584	793
765	2588	790
766	2591	787
767	2595	784
768	2598	780
769	2602	777
770	2605	773
771	2608	770
772	2612	767
773	2615	763
774	2619	760
775	2622	757
776	2625	753
777	2629	750
778	2632	746
779	2636	743
780	2640	740
781	2643	736
782	2646	733
783	2650	730
784	2654	727
785	2658	723
786	2661	720
787	2664	716
788	2668	713
789	2671	710
790	2674	706
791	2677	703
792	2681	699
793	2684	696
794	2687	693
795	2691	689
796	2693	686
797	2696	682
798	2700	679
799	2702	675
800	2705	672
801	2708	668
802	2711	665
803	2714	661
804	2718	658
805	2721	655
806	2724	651
807	2727	648
808	2730	644
809	2733	641
810	2736	637
811	2739	634
812	2742	630
813	2745	627
814	2748	623
815	2751	620
816	2754	616
817	2756	613
818	2759	609
819	2762	606
820	2765	603
821	2768	599
822	2771	596
823	2774	592
824	2777	589
825	2780	585
826	2784	582
827	2787	579
828	2790	575
829	2793	572
830	2796	568
831	2799	565
832	2802	561
833	2805	558
834	2808	555
835	2811	551
836	2814	548
837	2817	544
838	2820	541
839	2823	537
840	2826	534
841	2829	531
842	2833	527
843	2836	524
844	2839	520
845	2842	517
846	2845	514
847	2848	510
848	2851	507
849	2854	503
850	2857	500
851	2860	496
852	2863	493
853	2866	490
854	2869	486
855	2872	483
856	2875	479
857	2879	476
858	2882	473
859	2885	469
860	2888	466
861	2891	462
862	2894	459
863	2897	456
864	2900	452
865	2904	449
866	2907	445
867	2910	442
868	2913	439
869	2916	435
870	2919	432
871	2922	428
872	2925	425
873	2928	422
874	2931	418
875	2934	415
876	2936	411
877	2939	408
878	2942	405
879	2945	401
880	2948	398
881	2951	394
882	2954	391
883	2957	388
884	2960	384
885	2963	381
886	2966	377
887	2969	374
888	2972	371
889	2976	367
890	2980	364
891	2983	361
892	2986	357
893	2989	354
894	2992	351
895	2995	347
896	2998	344
897	3001	340
898	3004	337
899	3008	334
900	3011	330
901	3014	327
902	3017	324
903	3021	320
904	3024	317
905	3028	314
906	3031	310
907	3034	307
908	3037	304
909	3040	300
910	3044	297
911	3047	294
912	3050	290
913	3053	287
914	3057	284
915	3060	280
916	3063	277
917	3066	273
918	3069	270
919	3072	267
920	3075	263
921	3078	260
922	3081	257
923	3084	253
924	3086	250
925	3090	246
926	3092	243
927	3095	240
928	3098	236
929	3101	233
930	3104	230
931	3107	226
932	3110	223
933	3114	220
934	3117	216
935	3120	213
936	3123	210
937	3127	206
938	3130	203
939	3133	199
940	3136	196
941	3139	193
942	3142	189
943	3145	186
944	3149	183
945	3152	179
946	3156	176
947	3159	173
948	3162	169
949	3165	166
950	3168	163
951	3172	159
952	3176	156
953	3180	153
954	3183	150
955	3186	146
956	3190	143
957	3194	140
958	3198	136
959	3202	133
960	3206	130
961	3209	126
962	3213	123
963	3217	120
964	3221	116
965	3224	113
966	3228	110
967	3231	106
968	3235	103
969	3238	100
970	3242	96
971	3245	93
972	3248	90
973	3251	86
974	3254	83
975	3258	80
976	3261	76
977	3264	73
978	3267	70
979	3270	66
980	3274	63
981	3277	60
982	3280	56
983	3284	53
984	3288	50
985	3291	46
986	3295	43
987	3298	40
988	3302	36
989	3305	33
990	3309	30
991	3312	26
992	3315	23
993	3319	20
994	3322	16
995	3325	13
996	3329	10
997	3332	6
998	3335	3
999	3338	0
